uniqPlot;swrad_m1;swrad_m2;swrad_m3;swrad_m4;swrad_m5;swrad_m6;swrad_m7;swrad_m8;swrad_m9;swrad_m10;swrad_m11;swrad_m12;elev;slope;aspect
agola_1994_c;NA;NA;NA;NA;NA;15.38093185;15.41053486;13.46408272;9.911231995;6.837553024;NA;NA;2594.59622;11.51494946;304.2840965
agola_1994_d;NA;NA;NA;NA;NA;15.37534523;15.39871502;13.48024845;9.933371544;6.887147903;NA;NA;2599.540657;11.49571075;280.342311
agola_1994_e;NA;NA;NA;NA;NA;15.23804855;15.24335957;13.40873909;9.924854279;6.963284969;NA;NA;2599.661811;19.02983302;246.0488721
agola_2003_a;NA;NA;NA;NA;NA;15.24663162;15.2802372;13.32818699;9.796581268;6.733436584;NA;NA;2602.78086;12.57834105;321.4478117
agola_2003_b;NA;NA;NA;NA;NA;15.37534523;15.39871502;13.48024845;9.933371544;6.887147903;NA;NA;2599.540657;11.49571075;280.342311
agola_2003_c;NA;NA;NA;NA;NA;15.33401012;15.35194969;13.47290993;9.939371109;6.931707859;NA;NA;2604.926082;13.08765969;253.5161721
agola_2003_d;NA;NA;NA;NA;NA;15.33401012;15.35194969;13.47290993;9.939371109;6.931707859;NA;NA;2604.926082;13.08765969;253.5161721
agola_2017_a;NA;NA;NA;NA;NA;14.70827007;14.7455349;12.80100727;9.388497353;6.388500214;NA;NA;2613.535298;20.84656037;341.4646688
agola_2017_b;NA;NA;NA;NA;NA;14.70827007;14.7455349;12.80100727;9.388497353;6.388500214;NA;NA;2613.535298;20.84656037;341.4646688
agola_2017_c;NA;NA;NA;NA;NA;15.24001503;15.25362301;13.41832733;9.91020298;6.948246956;NA;NA;2611.021805;15.6772242;233.8091058
agola_2017_d;NA;NA;NA;NA;NA;15.11733913;15.14376736;13.22439575;9.719590187;6.707346916;NA;NA;2610.783509;11.821065;304.3669496
agola_2017_e;NA;NA;NA;NA;NA;15.24001503;15.25362301;13.41832733;9.91020298;6.948246956;NA;NA;2611.021805;15.6772242;233.8091058
agola_2017_f;NA;NA;NA;NA;NA;15.24001503;15.25362301;13.41832733;9.91020298;6.948246956;NA;NA;2611.021805;15.6772242;233.8091058
amola_1850_a;NA;NA;NA;NA;NA;14.87515354;15.11472034;13.41359329;9.850788116;6.628711224;2.932035923;NA;2453.248728;27.70571299;156.5048072
amola_1850_b;NA;NA;NA;NA;NA;14.84213543;15.0780859;13.39293194;9.845833778;6.639595985;2.946541071;NA;2460.687984;28.92843361;159.1258181
amola_1850_c;NA;NA;NA;NA;NA;14.79042721;15.07604599;13.35633945;9.830242157;6.645328045;2.960588694;NA;2467.549414;30.70577599;162.6923854
amola_1850_d;NA;NA;NA;NA;NA;15.70220947;15.96756554;14.07249355;10.33115292;6.876562119;2.948556423;NA;2484.88952;15.82613588;138.2896045
amola_1850_e;NA;NA;NA;NA;NA;15.70220947;15.96756554;14.07249355;10.33115292;6.876562119;2.948556423;NA;2484.88952;15.82613588;138.2896045
amola_1925_a;NA;NA;NA;NA;NA;14.44488811;14.7010603;12.7701931;9.26721096;5.961544037;2.563947916;NA;2523.306042;27.1224328;34.75990651
amola_1925_b;NA;NA;NA;NA;NA;14.52962971;14.78372955;12.84446144;9.322256088;5.997877598;2.571137905;NA;2515.465484;26.43761484;31.2408248
amola_1925_c;NA;NA;NA;NA;NA;14.43208599;14.68115234;12.75106239;9.241434097;5.944613457;2.550397396;NA;2498.9368;25.4888067;31.16953791
amola_1925_d;NA;NA;NA;NA;NA;14.59580231;14.84388161;12.90235233;9.354794502;6.016993046;2.567513943;NA;2491.79722;22.30529519;28.97436101
amola_1925_e;NA;NA;NA;NA;NA;14.59580231;14.84388161;12.90235233;9.354794502;6.016993046;2.567513943;NA;2491.79722;22.30529519;28.97436101
amola_2003_a;NA;NA;NA;NA;NA;14.40742111;14.66484737;12.75781155;9.237282753;5.967167377;NA;NA;2555.044695;22.0461982;49.12611018
amola_2003_b;NA;NA;NA;NA;NA;14.40742111;14.66484737;12.75781155;9.237282753;5.967167377;NA;NA;2555.044695;22.0461982;49.12611018
amola_2003_c;NA;NA;NA;NA;NA;14.22012806;14.47958946;12.58677864;9.112239838;5.889043808;NA;NA;2566.508749;26.77844216;51.38557223
amola_2003_d;NA;NA;NA;NA;NA;14.22012806;14.47958946;12.58677864;9.112239838;5.889043808;NA;NA;2566.508749;26.77844216;51.38557223
