"glacier1","date1","plot1","date2","plot2","Plot1","Plot2","beta.bact","time_diff","beta.coll","beta.euka.uni","beta.euka.animals","beta.fung","beta.inse","beta.olig","beta.sper","beta.all.ani"
"adigi",1765,"b",1949,"b","adigi_1949_b","adigi_1765_b",0.844444444444444,184,0.923076923076923,0.727272727272727,0.777777777777778,0.900900900900901,1,1,1,0.931818181818182
"adigi",1765,"b",1949,"c","adigi_1949_c","adigi_1765_b",0.810126582278481,184,1,0.75,0.818181818181818,0.880733944954128,0.947368421052632,1,1,0.928571428571429
"adigi",1765,"b",1949,"d","adigi_1949_d","adigi_1765_b",0.922077922077922,184,0.909090909090909,0.6,0.888888888888889,0.887931034482759,0.952380952380952,1,1,0.931818181818182
"adigi",1765,"b",1949,"e","adigi_1949_e","adigi_1765_b",0.843373493975904,184,0.75,0.692307692307692,0.625,0.9,0.875,1,0.9375,0.794871794871795
"adigi",1765,"b",1963,"a","adigi_1963_a","adigi_1765_b",0.879432624113475,198,1,0.8,0.875,0.986486486486487,1,1,1,0.971428571428571
"adigi",1765,"b",1963,"b","adigi_1963_b","adigi_1765_b",0.871794871794872,198,1,0.666666666666667,1,0.935897435897436,1,1,1,1
"adigi",1765,"b",1963,"c","adigi_1963_c","adigi_1765_b",0.901785714285714,198,1,0.666666666666667,1,1,1,1,1,1
"adigi",1765,"b",1963,"d","adigi_1963_d","adigi_1765_b",0.890909090909091,198,1,0.636363636363636,0.888888888888889,0.961038961038961,1,1,1,0.973684210526316
"adigi",1765,"b",1963,"e","adigi_1963_e","adigi_1765_b",0.888888888888889,198,1,0.636363636363636,1,1,1,1,1,1
"adigi",1765,"b",1981,"a","adigi_1981_a","adigi_1765_b",0.896551724137931,216,1,0.6875,1,0.925925925925926,1,1,1,1
"adigi",1765,"b",1981,"b","adigi_1981_b","adigi_1765_b",0.824561403508772,216,1,0.615384615384615,0.875,0.91304347826087,1,1,1,0.972222222222222
"adigi",1765,"b",1981,"c","adigi_1981_c","adigi_1765_b",0.884615384615385,216,1,0.9,1,0.949367088607595,1,1,1,1
"adigi",1765,"b",1981,"d","adigi_1981_d","adigi_1765_b",0.807339449541284,216,1,0.909090909090909,1,0.91025641025641,1,1,1,1
