"lon","lat","name","glacier","dating","date","nmonths","meanS","meanT","ndvi","twi","slope","slope_buf","tpi","nmonths_new","meanS_new","meanT_new"
74.44867,42.5262,"adigi_1765_a1","Adigine","1765","27/09/2019",6,80.8240804822545,8.52725839614868,0.432961576144558,13.006285251633,6.63270120011928,8.52294245699521,-0.944729498344259,6,80.8240804822545,8.60850614557664
74.44867,42.52631,"adigi_1765_b1","Adigine","1765","27/09/2019",6,81.2000714193696,8.55280868212382,0.42736175454896,13.0613206603241,8.16848443979746,8.54121999740458,0.726198700889199,6,81.2000714193696,8.64104144275188
74.44877,42.52644,"adigi_1765_c1","Adigine","1765","27/09/2019",6,81.2000714193696,8.55280868212382,0.436908980317153,13.0613206603241,8.16848443979746,8.59369301753603,0.726198700889199,6,81.2000714193696,8.64104144275188
74.4485,42.52663,"adigi_1765_d1","Adigine","1765","27/09/2019",6,81.6406798814959,8.38349684079488,0.195755664939658,12.4314617459743,12.4503241190196,9.17391363194528,0.148148321392,6,81.6406798814959,8.60034312680364
74.44912,42.52672,"adigi_1765_e1","Adigine","1765","27/09/2019",6,81.5114448314737,8.60922416051229,0.396261606698804,12.5057242997072,8.83503569864805,8.7238942739661,1.19947357077626,6,81.5114448314737,8.68124979858597
74.444223,42.51873,"adigi_1949_a1","Adigine","1949","27/09/2019",4,92.1694750780562,10.1478192806244,0.148474516896592,10.4579625252298,3.01554748440212,6.38650518582494,0.422367694744935,5,79.4070860662996,8.47355329990387
74.44432,42.51887,"adigi_1949_b1","Adigine","1949","27/09/2019",4,92.2123649373545,10.2298909425735,0.127495204603768,11.4112333259347,3.26118957373138,6.9595362828156,-1.60689177110135,5,79.4270326518707,8.51105530261993
74.4444,42.51902,"adigi_1949_c1","Adigine","1949","27/09/2019",4,92.386145774212,10.1364876031876,0.133962342012981,9.30392862716505,7.0152370516435,7.51827247719967,-0.153052675535491,5,79.702781190464,8.52615351676941
74.4448,42.51916,"adigi_1949_d1","Adigine","1949","27/09/2019",4,92.4251886608541,10.2550702095032,0.119184258505372,10.2150842893497,1.88735363443093,9.13420174983913,4.04213302165726,6,69.7891591149584,7.17498217026393
74.44409,42.51852,"adigi_1949_e1","Adigine","1949","27/09/2019",4,91.9918472685425,10.1194776296616,0.115604332413477,10.3158383790872,3.52428294859325,5.62779381241606,-0.211877707391523,5,79.1240551274987,8.42526352405548
74.437895,42.513342,"adigi_1963_a1","Adigine","1963","26/09/2019",4,82.2554458036806,8.34940135478973,0.0610541441827435,10.7217991407833,7.7421094348445,12.9020360097136,1.62670804466006,5,70.5929475411086,6.87749147415161
74.438057,42.513345,"adigi_1963_b1","Adigine","1963","26/09/2019",4,82.2554458036806,8.34940135478973,0.0781443677210082,10.7217991407833,7.7421094348445,13.2378008392392,1.62670804466006,5,70.5929475411086,6.87749147415161
74.437949,42.513377,"adigi_1963_c1","Adigine","1963","26/09/2019",4,82.2554458036806,8.34940135478973,0.0610541441827435,10.7217991407833,7.7421094348445,12.8976860085932,1.62670804466006,5,70.5929475411086,6.87749147415161
74.437788,42.513348,"adigi_1963_d1","Adigine","1963","26/09/2019",4,82.2554458036806,8.34940135478973,0.062391474128833,10.7217991407833,7.7421094348445,12.7961309315333,1.62670804466006,5,70.5929475411086,6.87749147415161
74.437628,42.51322,"adigi_1963_e1","Adigine","1963","26/09/2019",4,82.1198730175477,8.40998220443726,0.058747322139571,11.7662151537713,4.18150617244635,12.2001816143605,0.903937274917098,5,70.4811922777581,6.91576490402222
74.43656,42.51046,"adigi_1981_a1","Adigine","1981","26/09/2019",4,74.706670986249,7.22465467453003,0.0445583126148964,15.4745803918015,7.77827427312019,8.73826120376746,-2.96839258633599,5,63.8075930024985,5.88018078804016
74.43786,42.51025,"adigi_1981_f1","Adigine","1981","26/09/2019",4,75.147247649688,7.32265013456345,0.118524909371875,9.89140790076348,9.14487012498645,9.87861993697856,0.996422334538238,5,64.2504972721192,5.8329930305481
74.43634,42.51056,"adigi_1981_b1","Adigine","1981","26/09/2019",4,75.3188052775027,7.42675161361694,0.0633574805622774,14.177766245682,5.96640616233033,8.61114265017003,-0.898855670151079,5,64.3653200361594,6.02739610671997
74.43755,42.51043,"adigi_1981_g1","Adigine","1981","26/09/2019",4,74.9237663462897,7.31980717182159,0.0793902320485254,9.9328934506417,9.35861214342788,9.52517110333052,0.766245480777343,5,64.076249331309,5.84417462348938
74.43626,42.51053,"adigi_1981_c1","Adigine","1981","26/09/2019",4,75.2454606424203,7.47455954551697,0.0727951766584321,17.3829793477103,1.57900514976622,8.61111899021387,-1.89942802839141,5,64.274741994648,6.03983030319214
74.43784,42.51036,"adigi_1981_h1","Adigine","1981","26/09/2019",4,75.147247649688,7.32265013456345,0.0727472453553174,9.89140790076348,9.14487012498645,9.89349119642753,0.996422334538238,5,64.2504972721192,5.8329930305481
74.43643,42.51071,"adigi_1981_d1","Adigine","1981","26/09/2019",4,75.3188052775027,7.42675161361694,0.0612816309327911,14.177766245682,5.96640616233033,8.71119153497846,-0.898855670151079,5,64.3653200361594,6.02739610671997
74.43774,42.51037,"adigi_1981_i1","Adigine","1981","26/09/2019",4,74.9237663462897,7.31980717182159,0.0727472453553174,9.9328934506417,9.35861214342788,9.59621993546138,0.766245480777343,5,64.076249331309,5.84417462348938
74.4365,42.5106,"adigi_1981_e1","Adigine","1981","26/09/2019",4,75.3188052775027,7.42675161361694,0.0461405296037205,14.177766245682,5.96640616233033,8.79578691433545,-0.898855670151079,5,64.3653200361594,6.02739610671997
